grade,area
0.00324781844,49.09149
0,32.6234627
0.006628931,62.0162621
0.00335962325,31.00783
0.0033453654,31.0078621
0.0030956855,27.8968849
0.0035831125,27.8967514
0.00255667535,55.79309
0.0145976553,35.6558838
0.008672504,24.2557526
0.0144215757,51.9286537
0.009350194,25.9641552
0.0140194269,25.96413
0.0139627531,32.9326134
0.0138942245,69.7402344
0.009873556,34.87005
0.009282994,34.8699875
0,34.8698425
0,17.4347343
0,17.4347038
0.008910786,34.86984
0.009282961,17.4349251
0.009873522,17.4349556
0.0028926658,34.86981
0.009943001,17.43535
0.009848367,17.4353714
0.0141416341,17.43522
0.0118355788,8.717415
0.0126002114,8.71742249
0.01185334,17.4352512
0.009848375,8.717277
0.009943159,8.717267
0.00297742384,34.86978
0.001582925,17.4347763
0.00163502083,17.4347858
0.008840396,17.4351139
0.00880614948,8.717438
0.008282637,8.717437
0.000365846616,17.435112
0.00123656867,8.717526
0.00118509121,8.717522
0.00698232139,17.03559
0.009758652,17.0355434
0.004646566,34.07097
0.0121197961,17.0352974
0.008386749,8.517657
0.0104652243,8.517651
0.009687564,8.517689
0.00714464439,8.517665
0.009008165,17.0352745
0.00293040276,17.0355816
0.00124811521,8.517429
0.00101271854,8.517437
0.007658943,8.517597
0.008896496,8.517608
0.008272626,17.0355759
0.00130335952,17.0358734
0.0009289933,17.0358276
0.00398724945,34.0709343
0.0133342007,34.07106
0.008386752,17.0356121
0.0109572569,17.0356274
0.0102616064,17.035223
0.007686858,17.03527
0.0100283809,34.0710869
0.0113379387,68.14204
0.0121213431,34.0708237
0.0111493655,34.0708
0.0205087066,28.1512337
0.0148127889,19.158123
0.01035491,19.158102
0.0109071368,38.3159142
0.01127108,7.74604559
0,7.74607372
0.0123412032,15.4922571
0.009820915,26.8477573
0.00353553868,22.5296574
0.0033676147,22.5295048
0.006090711,45.0601044
0.00758750644,22.52972
0.00607231073,11.2645369
0.007840376,11.2648544
0.00585901365,22.5300179
0.005856311,22.5300541
0.00308618834,45.05985
0.00510966266,22.5294952
0.00344112539,22.52993
0.00151690783,45.0596466
0.001548358,45.05946
0.003818146,4.237969
0.004419207,57.4539642
0.00567866955,45.01617
0.005468593,21.583807
0.00440272363,44.0958939
0.0035311142,36.0637665
0.005881148,21.1186275
0.005480229,10.5594082
0.00554380752,10.559453
0.00474593975,10.5593748
0.00390956551,5.27953339
0.004025793,5.27953863
0.00554867974,5.27970552
0.005543843,5.27970362
0.004796406,10.5593853
0.00647226768,10.5594606
0.005966673,5.279535
0.00605034176,5.27954769
0.00778922625,5.27988148
0.00769701554,5.279906
0.00649727229,10.5594158
0.00601810124,21.1185169
0.00640047574,10.55958
0.0063048536,10.5596428
0.00371784577,21.1187267
0.00372603931,21.1187115
0.003097922,42.2370567
0.00453589158,21.1185017
0.00547331851,10.5589285
0.00531908963,10.5589733
0.00338134239,10.5595675
0.00334727322,10.5595522
0.004375397,21.1186428
0.005846315,41.58083
0.005128903,20.7909832
0.00503858924,20.79099
0.005783041,20.7898617
0.005835514,20.7897778
0.00582727557,41.5809669
0.00518090744,41.58093
0.004239302,41.5812454
0.00491420133,41.5804939
0.003924529,20.790472
0.005145865,20.7902431
0.005504896,19.1868858
0.00570656452,19.1867886
0.005491065,38.37512
0.0061088,19.18768
0.005999274,19.1877174
0.00537647633,38.37524
0.00590985734,38.3744736
0.0057224175,38.37467
0.005356044,76.74872
0.005865209,16.9688
0.00593537,16.9689064
0.006319718,33.93824
0.0066480427,16.9689
0.00656999042,16.9688549
0.0061872974,33.9382668
0.00582834659,33.9385376
0.005755144,33.938324
0.005458157,67.87617
0.0060086106,46.39164
0.006401424,23.195919
0.006109325,23.1957779
0.00662398571,23.1962357
0.006503684,11.5980453
0.00691795349,11.5980415
0.00669143675,23.1963272
0.00627447758,11.5984144
0.00655814959,11.598485
0.00598259736,51.7227974
0.00495877676,26.4183273
0.005462645,54.8071938
0.00687797368,22.1948776
0.00641438644,22.19484
0.006530542,44.3904381
0.01698266,9.654533
0.0112666031,5.78209352
0.00276228529,5.78207445
0.0118978973,11.56401
0.0282235388,1.44555831
0.0184551626,1.44556558
0.0347159021,2.89102769
0.0128335338,1.44549811
0,1.44547534
0.0199709311,2.89097977
0.0193077326,2.891069
0.02937961,2.89105463
0.01994206,5.782044
0.00285785855,11.5638933
0.0115625039,11.5639315
0.00285461382,23.1280155
0.0195037033,11.5644693
0.008905189,11.56427
0.00634778524,5.782038
0.0447666161,2.89106083
0.04610466,1.4456085
0.00508684339,1.44551957
0.0109040448,11.5642843
0.00388324237,23.1276455
0.00249421271,23.128
0.0272710081,11.5643206
0.0171644632,2.891017
0,2.890993
0.02114481,5.782233
0.02378184,23.1285572
0.0116906455,11.5642109
0.00336669059,11.5642853
0.0112857148,23.1284218
0.0227710046,5.782153
0.008328956,5.78219366
0.02263627,11.5640965
0.0268625654,23.1279888
0.0168453157,5.78198242
0.0053609265,5.78205061
0.0231827013,11.5640373
0.0113630621,11.564105
0,5.782161
0.0167504512,5.78209352
0,27.0916176
0,13.5456381
0,13.5457325
0,13.5460968
0,3.386356
0,0.8465767
0.0153214419,0.8465767
0,1.69317114
0,6.77306
0,27.0914974
0,54.1827164
0,27.0918236
0,27.0918674
0.008780733,3.04964066
0.01304664,3.04965019
0,21.7184677
0,10.8591967
0,10.8591747
0,10.859251
0,10.8592129
0,21.7185059
0,21.71826
0,21.71833
0,43.43662
0.0249601249,25.50928
0.0191735383,25.0297661
0,37.52194
0.00324172014,6.099879
0.002107067,53.16111
0,26.5802422
0,26.5802422
0,26.580862
0,13.2899857
0,13.2900457
0,26.5808926
0,13.2903
0,13.2903
0,26.5804749
0,13.2902374
0,13.2902374
0,13.2899923
0,6.644969
0,6.64498425
0,13.2900219
0,6.64500761
0,6.64500761
0.00591465039,52.3252831
0,66.23929
0,33.11948
0.007664367,24.5402451
0.0121216727,5.86241865
0.0141706914,29.6608047
0.0175489467,29.6607914
0.0160369147,29.6606522
0.008788699,29.6606522
0.0123597449,24.5086117
0.0200596377,51.77645
0.0132927913,7.68204927
0,7.68201256
0.0134230843,15.3642092
0.004020667,23.194891
0.00538873533,27.4322968
0.002903284,60.8095322
0.006867144,20.9814072
0.0069867745,20.981329
0.007523572,41.9637566
0.00650218735,20.9817085
0.00581107056,10.4906273
0.00604019873,10.4906015
0.00672730152,10.4904814
0.006804741,10.4904509
0.00665504159,20.98178
0.00550077856,20.981781
0.00521546975,10.4908657
0.00527645368,10.4909239
0.004812596,10.4909439
0.00564221758,10.490983
0.00542110251,10.4912014
0.00490592839,10.4909449
0.00661413651,10.490984
0.008035414,10.49074
0.0074098683,10.4923334
0.00666195154,10.49101
0.00566050131,20.9817352
0.00611678371,10.4911366
0.005890961,10.4911623
0.005697394,82.6112747
0.005720602,41.30633
0.00575731462,41.3063049
0.00560826063,41.30464
0.00513878046,20.6522064
0.00513377646,20.65224
0.00556156645,41.30459
0.005757155,20.6529522
0.0057204417,20.6529636
0.0059332964,73.06444
0.00620411476,36.53161
0.005871006,36.53156
0.00563638844,36.53188
0.005663952,18.265274
0.005344348,18.26527
0.005628991,36.5318
0.00567951752,18.2661324
0.00602314,18.26616
0.00641802745,62.6092377
0.00659204274,31.3051243
0.00600797357,31.3051643
0.006487542,31.3048553
0.00608800165,15.6522045
0.00613077,15.6521969
0.006238899,31.3048916
0.006007617,15.6520376
0.00659169955,15.6520176
0.00702243065,12.1035948
0.00664543873,12.103651
0.006799384,24.2067051
0.00623093825,12.1037073
0.00616877247,12.1036177
0.00705470471,24.2067242
0.00664564269,24.2072163
0.007022612,24.2071056
0.007330054,48.4137268
0.004637486,50.24802
0.008890389,46.5418434
0.0167271458,16.0836658
0.0264687352,24.5012913
0,22.71435
0,22.7143936
0,11.356966
0,11.3569832
0,22.71425
0,45.428257
0,22.7144279
0,5.678702
0.0168165714,5.678601
0,11.3572912
0.0140395667,7.58097839
0.000628561538,7.58097267
0.01858079,15.16196
0.024875477,1.90074563
0.0158674475,1.90072846
