2,369.061,58.0,-5.449,341.85,58.0,-14.494,345.235,58.0,-7.991
2,341.85,58.0,-14.494,369.061,58.0,-5.449,347.073,58.0,-47.488
2,341.85,58.0,-14.494,347.073,58.0,-47.488,330.335,58.0,-36.634
1,330.335,0.0,-36.634,330.335,58.0,-36.634,347.073,58.0,-47.488
1,330.335,0.0,-36.634,347.073,58.0,-47.488,347.073,0.0,-47.488
2,330.30235505645294,56.85,-36.68434190760002,330.30235505645294,58.0,-36.68434190760002,347.04035505645294,58.0,-47.53834190760002
2,330.30235505645294,56.85,-36.68434190760002,347.04035505645294,58.0,-47.53834190760002,347.04035505645294,56.85,-47.53834190760002
0,334.3357975282264,0.8,-39.26413095380001,334.3357975282264,57.4,-39.26413095380001,338.1855375282264,57.4,-41.76055095380001
0,334.3357975282264,0.8,-39.26413095380001,338.1855375282264,57.4,-41.76055095380001,338.1855375282264,0.8,-41.76055095380001
1,334.3303567043019,3.58,-39.27252127173335,334.3303567043019,3.67,-39.27252127173335,338.1800967043019,3.67,-41.768941271733354
1,334.3303567043019,3.58,-39.27252127173335,338.1800967043019,3.67,-41.768941271733354,338.1800967043019,3.58,-41.768941271733354
1,334.3303567043019,7.205,-39.27252127173335,334.3303567043019,7.295,-39.27252127173335,338.1800967043019,7.295,-41.768941271733354
1,334.3303567043019,7.205,-39.27252127173335,338.1800967043019,7.295,-41.768941271733354,338.1800967043019,7.205,-41.768941271733354
1,334.3303567043019,10.83,-39.27252127173335,334.3303567043019,10.92,-39.27252127173335,338.1800967043019,10.92,-41.768941271733354
1,334.3303567043019,10.83,-39.27252127173335,338.1800967043019,10.92,-41.768941271733354,338.1800967043019,10.83,-41.768941271733354
1,334.3303567043019,14.455,-39.27252127173335,334.3303567043019,14.545,-39.27252127173335,338.1800967043019,14.545,-41.768941271733354
1,334.3303567043019,14.455,-39.27252127173335,338.1800967043019,14.545,-41.768941271733354,338.1800967043019,14.455,-41.768941271733354
1,334.3303567043019,18.08,-39.27252127173335,334.3303567043019,18.17,-39.27252127173335,338.1800967043019,18.17,-41.768941271733354
1,334.3303567043019,18.08,-39.27252127173335,338.1800967043019,18.17,-41.768941271733354,338.1800967043019,18.08,-41.768941271733354
1,334.3303567043019,21.705,-39.27252127173335,334.3303567043019,21.795,-39.27252127173335,338.1800967043019,21.795,-41.768941271733354
1,334.3303567043019,21.705,-39.27252127173335,338.1800967043019,21.795,-41.768941271733354,338.1800967043019,21.705,-41.768941271733354
1,334.3303567043019,25.33,-39.27252127173335,334.3303567043019,25.42,-39.27252127173335,338.1800967043019,25.42,-41.768941271733354
1,334.3303567043019,25.33,-39.27252127173335,338.1800967043019,25.42,-41.768941271733354,338.1800967043019,25.33,-41.768941271733354
1,334.3303567043019,28.955,-39.27252127173335,334.3303567043019,29.045,-39.27252127173335,338.1800967043019,29.045,-41.768941271733354
1,334.3303567043019,28.955,-39.27252127173335,338.1800967043019,29.045,-41.768941271733354,338.1800967043019,28.955,-41.768941271733354
