name,x,y,z,active,renderers,enabled,minY,terrainY
Grove tree 042,99.64108,-4.513054,-267.0737,True,3,3,-4.514437,-4.63444
Grove tree 041,89.13403,-5.56458,-258.8752,True,3,3,-5.56496,-5.684959
BroadleafTree_02_Green,-11.49276,-5.449008,-141.772,True,3,3,-5.449068,-5.570177
Grove tree 179,308.1984,4.244051,-183.9497,True,3,3,4.243955,4.123959
Grove tree 012,109.6716,-5.246895,-234.2313,False,3,3,-5.24732,-4.92618
Grove tree 035,-119.8338,-5.552891,-50.27421,True,3,3,-5.55299,-5.67299
Grove tree 165,-51.13699,-5.970188,-314.4229,True,3,3,-5.971516,-6.091516
Grove tree 178,-276.6606,-8.123918,-189.7746,True,3,3,-8.124444,-8.244444
Grove tree 087,99.42405,-4.802407,-317.8322,True,3,3,-4.802547,-4.922556
BroadleafTree_02_Green,-246.2906,-8.175358,-219.376,True,3,3,-8.17543,-8.295504
Grove tree 014,-33.88506,-7.098673,-184.8198,False,3,3,-7.099916,-6.469816
Grove tree 063,132.8445,-1.2576,-204.7693,True,3,3,-1.258031,-1.378036
Grove tree 096,122.4024,-3.615658,-299.0591,True,3,3,-3.617151,-3.737151
Grove tree 133,-212.2848,-7.743576,-246.0135,True,3,3,-7.744034,-7.864034
BroadleafTree_02_Green,-150.058,-6.585728,-111.4665,True,3,3,-6.585777,-6.706114
Lakeside willow 7,219.8339,1.753628,-57.64926,True,3,3,1.752944,1.603628
BroadleafTree_02_Green,-62.74777,-5.522642,-249.6459,True,3,3,-5.522703,-5.643094
Grove tree 020,-19.54438,-5.598762,-151.5934,True,3,3,-5.599266,-5.719266
Grove tree 086,107.8975,-4.104365,-330.6138,False,3,3,-4.104857,-4.004657
Grove tree 002,180.8756,1.103229,-167.0149,True,3,3,1.102203,0.9822025
Grove tree 221,77.09409,-5.734832,-277.9181,True,3,3,-5.736156,-5.856156
Grove tree 216,70.38302,-6.967634,-291.4719,True,3,3,-6.968843,-7.088843
Grove tree 236,-133.5289,-6.912304,-192.2771,False,3,3,-6.912686,-7.04475
Grove tree 039,-50.43784,-6.01554,-207.221,True,3,3,-6.015653,-6.135652
Grove tree 032,-143.3711,-6.566463,-96.33664,True,3,3,-6.566877,-6.686877
Grove tree 158,-189.7771,-7.405568,-243.6191,True,3,3,-7.405714,-7.525715
Grove tree 021,126.569,-3.465626,-263.8121,True,3,3,-3.466058,-3.586058
Grove tree 025,-35.56327,-5.643804,-287.2101,True,3,3,-5.645249,-5.765238
Grove tree 220,87.26651,-5.008145,-291.4709,True,3,3,-5.008253,-5.128253
Grove tree 061,127.1205,-3.818668,-215.8365,False,3,3,-3.818789,-2.73034
BroadleafTree_02_Green,73.96882,-6.63421,-283.9311,True,3,3,-6.634263,-6.754599
Grove tree 071,-37.00239,-5.650387,-90.53761,True,3,3,-5.650532,-5.770532
Grove tree 118,162.7315,-1.218821,-226.5412,True,3,3,-1.220086,-1.340086
Lakeside willow 1,177.5338,1.017601,-121.2944,True,3,3,1.016917,0.8676014
Grove tree 184,-158.6566,-6.75262,-97.2838,True,3,3,-6.753729,-6.873729
Grove tree 033,-136.6097,-6.639637,-82.13492,False,3,3,-6.63972,-6.651425
Grove tree 139,-233.2004,-8.028959,-226.3872,True,3,3,-8.030098,-8.150098
Grove tree 016,-58.61534,-5.217129,-72.05111,True,3,3,-5.218066,-5.338066
Grove tree 186,-139.8016,-6.441751,-106.5092,True,3,3,-6.442245,-6.562244
Grove tree 122,99.78513,-3.659612,-390.3841,True,3,3,-3.660016,-3.780016
Grove tree 112,158.3109,-1.550076,-240.7467,True,3,3,-1.550614,-1.670614
Grove tree 004,174.1145,0.7687966,-173.3461,True,3,3,0.7673597,0.6473598
Grove tree 028,-71.86956,-5.56774,-237.4509,True,3,3,-5.568957,-5.688957
Lakeside willow 6,214.2743,1.649062,-68.2837,True,3,3,1.647422,1.499062
Grove tree 037,-53.23485,-6.249921,-213.0014,True,3,3,-6.250044,-6.37004
Grove tree 011,198.453,1.484387,-168.735,True,3,3,1.483228,1.363228
Grove tree 229,144.5742,-2.738611,-164.3923,True,3,3,-2.739144,-2.859144
BroadleafTree_05_Green,9.613956,-4.458881,-106.4455,True,3,3,-4.459116,-4.579303
Grove tree 023,-6.932934,-3.756016,-128.8845,True,3,3,-3.757365,-3.877365
BroadleafTree_05_Green,141.2941,-3.138148,-256.491,True,3,3,-3.138412,-3.258274
Grove tree 193,-130.6995,-6.420062,-87.39926,True,3,3,-6.420189,-6.540189
BroadleafTree_02_Green,104.3093,-4.416907,-306.5974,True,3,3,-4.416966,-4.537025
Grove tree 107,151.3559,-2.036556,-252.6979,True,3,3,-2.036674,-2.156673
Grove tree 076,-1.712173,-8.527836,-345.138,False,3,3,-8.528296,-7.418133
Grove tree 013,117.1546,-4.161656,-219.1693,True,3,3,-4.161756,-4.281757
Grove tree 235,166.0978,0.9939414,-153.1809,False,3,3,0.9934149,1.156734
Grove tree 209,-112.4858,-5.693233,-56.37166,True,3,3,-5.694417,-5.814417
BroadleafTree_05_Green,-141.8388,-6.724524,-65.1952,True,3,3,-6.724806,-6.845043
Grove tree 151,-254.7453,-7.696681,-207.653,True,3,3,-7.698103,-7.818103
Grove tree 119,160.4464,-2.244325,-219.7011,False,3,3,-2.244445,-1.264403
Grove tree 123,107.9964,-5.97012,-393.0273,True,3,3,-5.971255,-6.091255
Grove tree 098,127.8728,-3.581142,-281.7968,True,3,3,-3.581579,-3.701579
Grove tree 172,-71.64984,-6.637299,-279.5662,True,3,3,-6.638455,-6.758455
Grove tree 156,-213.7472,-7.637205,-230.7185,True,3,3,-7.637342,-7.757342
Grove tree 145,-92.90269,-8.259079,-300.831,False,3,3,-8.259462,-7.124196
Grove tree 147,-80.25453,-8.527954,-307.8303,False,3,3,-8.528532,-7.671449
Grove tree 082,78.04753,-4.026927,-325.1127,True,3,3,-4.027443,-4.147443
Grove tree 006,-11.43201,-6.035023,-151.8073,True,3,3,-6.035396,-6.155396
Grove tree 125,109.0104,-5.456457,-386.96,True,3,3,-5.45688,-5.57688
Grove tree 217,82.59976,-5.389785,-297.5469,True,3,3,-5.390377,-5.510386
BroadleafTree_05_Green,-133.5289,-6.924368,-192.2771,True,3,3,-6.924575,-7.04475
Grove tree 030,-52.78843,-6.708124,-244.7681,True,3,3,-6.709594,-6.829589
Grove tree 177,-283.5302,-8.528148,-184.6044,True,3,3,-8.528243,-8.648243
Grove tree 053,105.5193,-5.436936,-228.7705,True,3,3,-5.437062,-5.557062
Grove tree 207,-133.7887,-6.515121,-46.92222,True,3,3,-6.516534,-6.636534
Grove tree 101,138.6779,-2.91981,-277.5392,True,3,3,-2.920978,-3.040977
Grove tree 219,73.96882,-7.309177,-283.9311,False,3,3,-7.309566,-6.754599
Grove tree 164,-57.56371,-7.233169,-312.9055,True,3,3,-7.234802,-7.354802
Grove tree 010,192.0859,1.385373,-166.178,False,3,3,1.384883,1.202419
Grove tree 090,104.3093,-5.641475,-306.5974,False,3,3,-5.641593,-4.537025
Grove tree 005,-16.9594,-6.390963,-167.4139,True,3,3,-6.392043,-6.512043
Grove tree 025,-74.82643,-7.486809,-296.3111,True,3,3,-7.488001,-7.608003
Grove tree 021,-11.49276,-6.349866,-141.772,False,3,3,-6.351029,-5.570177
Grove tree 038,-45.37384,-6.451477,-216.9509,True,3,3,-6.452915,-6.572915
BroadleafTree_02_Green,-117.3689,-6.268083,-63.17479,True,3,3,-6.268166,-6.389724
Grove tree 024,-42.18872,-7.097093,-282.0351,False,3,3,-7.098496,-5.480365
Grove tree 052,114.4537,-3.356372,-242.7787,True,3,3,-3.356495,-3.476495
Grove tree 114,153.7665,-2.113139,-231.6814,True,3,3,-2.113701,-2.233701
Grove tree 057,119.4574,-4.703324,-229.2029,False,3,3,-4.703772,-3.381229
BroadleafTree_05_Green,-155.554,-6.671443,-107.3908,True,3,3,-6.671757,-6.792001
Grove tree 035,-56.41769,-6.537806,-220.3665,True,3,3,-6.53832,-6.658319
Grove tree 202,-119.909,-6.36159,-69.54237,True,3,3,-6.362957,-6.482957
Grove tree 129,112.3068,-4.658769,-355.095,False,3,3,-4.659225,-3.751167
Grove tree 222,81.71552,-6.610505,-282.0617,False,3,3,-6.612114,-5.765141
BroadleafTree_05_Green,107.8975,-3.884165,-330.6138,True,3,3,-3.884442,-4.004657
Grove tree 190,-144.9631,-6.628645,-87.21872,True,3,3,-6.629241,-6.749242
Grove tree 105,147.9866,-2.235099,-258.3388,True,3,3,-2.235535,-2.355536
Grove tree 034,-52.6178,-7.109017,-231.7149,False,3,3,-7.109485,-6.988335
Lakeside willow 11,255.7667,2.656092,-49.35268,True,3,3,2.652812,2.506092
Grove tree 181,-145.5099,-6.4399,-118.386,True,3,3,-6.440323,-6.560323
Grove tree 047,107.5103,-4.056004,-252.9053,True,3,3,-4.057466,-4.177461
Grove tree 024,-218.0148,-7.333202,-239.1817,False,3,3,-7.334394,-7.987024
Lakeside willow 5,212.2596,1.987601,-80.77133,True,3,3,1.98432,1.837606
Grove tree 194,-151.5528,-6.795016,-69.44934,True,3,3,-6.796207,-6.916207
Grove tree 160,-83.48114,-6.990345,-297.0234,True,3,3,-6.991453,-7.111445
Grove tree 022,-10.49035,-4.644877,-134.8886,True,3,3,-4.646051,-4.766051
Grove tree 056,113.4397,-4.466299,-226.1422,True,3,3,-4.466821,-4.586821
Grove tree 110,154.0516,-1.827992,-246.4119,True,3,3,-1.829223,-1.949223
Grove tree 022,135.1108,-2.64036,-247.5448,True,3,3,-2.64045,-2.760445
Grove tree 124,103.7454,-3.655996,-381.4425,True,3,3,-3.656114,-3.776114
Grove tree 197,-141.8388,-6.322767,-65.1952,False,3,3,-6.323286,-6.845043
Grove tree 034,-141.4847,-6.76481,-59.01193,True,3,3,-6.765157,-6.885157
Grove tree 081,8.232498,-6.019969,-326.6577,True,3,3,-6.021486,-6.141486
Grove tree 088,102.184,-5.700098,-312.6464,False,3,3,-5.701654,-4.665834
BroadleafTree_05_Green,92.08611,-6.232983,-252.2453,True,3,3,-6.233214,-6.354095
Grove tree 144,-97.42124,-6.537622,-297.4127,True,3,3,-6.539315,-6.659315
Grove tree 048,99.10092,-6.213019,-241.3293,False,3,3,-6.21314,-6.146653
Grove tree 171,-57.70506,-6.407305,-296.2616,True,3,3,-6.407812,-6.527812
Grove tree 120,96.02725,-3.665244,-401.0292,True,3,3,-3.665768,-3.785768
Grove tree 030,-150.058,-7.169924,-111.4665,False,3,3,-7.17031,-6.706114
