portal_local_x,portal_local_z,world_x,world_z,terrain_y
5.5,4,358.2494,23.02701,0.1805058
6,4,358.7028,22.81618,0.2843075
6.5,4,359.1562,22.60534,0.261982
7,4,359.6096,22.39451,0.213728
7.5,4,360.0629,22.18368,0.1939106
8,4,360.5163,21.97285,0.2518559
8.5,4,360.9697,21.76202,0.364624
9,4,361.4231,21.55117,0.4773922
9.5,4,361.8764,21.34034,0.4568062
10,4,362.3298,21.12952,0.4969807
10.5,4,362.7832,20.91867,0.5718403
11,4,363.2366,20.70786,0.4982548
11.5,4,363.6899,20.49703,0.3865929
12,4,364.1433,20.28619,0.3276672
12.5,4,364.5967,20.07536,0.3286762
13,4,365.0501,19.86452,0.4006271
13.5,4,365.5034,19.65368,0.5203133
14,4,365.9568,19.44285,0.5043297
14.5,4,366.4102,19.23204,0.5244083
15,4,366.8636,19.02119,0.5524483
15.5,4,367.3169,18.81036,0.4869785
16,4,367.7703,18.59954,0.3923988
16.5,4,368.2237,18.38869,0.3175964
17,4,368.6771,18.17786,0.2189541
17.5,4,369.1305,17.96702,0.1234207
18,4,369.5838,17.75618,0.1234207
18.5,4,370.0372,17.54537,0.1283073
19,4,370.4906,17.33452,0.1878033
19.5,4,370.944,17.1237,0.2473011
20,4,371.3973,16.91287,0.2432156
20.5,4,371.8507,16.70204,0.2155495
21,4,372.3041,16.49121,0.1934509
21.5,4,372.7574,16.28036,0.1653423
22,4,373.2108,16.06953,0.1338177
22.5,4,373.6642,15.8587,0.1234207
23,4,374.1176,15.64788,0.1234207
23.5,4,374.571,15.43703,0.1234207
24,4,375.0244,15.2262,0.1234207
24.5,4,375.4777,15.01538,0.1234207
25,4,375.9311,14.80454,0.1234207
25.5,4,376.3845,14.59371,0.1240082
26,4,376.8378,14.38288,0.1240044
26.5,4,377.2912,14.17204,0.1236839
27,4,377.7446,13.96121,0.1234207
27.5,4,378.198,13.75038,0.1237221
28,4,378.6514,13.53955,0.1244144
28.5,4,379.1047,13.32872,0.1251068
29,4,379.5581,13.1179,0.1251259
29.5,4,380.0115,12.90704,0.1248055
30,4,380.4648,12.69621,0.1244831
-2,4.5,351.6596,26.64287,0.1234207
-1.5,4.5,352.113,26.43204,0.1234207
-1,4.5,352.5663,26.22121,0.1234207
-0.5,4.5,353.0198,26.01036,0.1234207
0,4.5,353.4731,25.79955,0.1234207
