object,x,z,area,grade
Continuous asphalt network,168.94,-118.7445,0.09995328,0.4006624
Continuous asphalt network,168.4051,-118.578,0.3998355,0.4006928
Continuous asphalt network,169.576,-117.6967,0.3998046,0.4007001
Continuous asphalt network,169.4764,-118.4547,0.1999176,0.3324498
Continuous asphalt network,169.2826,-118.1452,0.1999175,0.4007023
Continuous asphalt network,168.8881,-119.808,0.7996714,0.2569913
Continuous asphalt network,168.2086,-119.1812,0.3998186,0.3975981
Continuous asphalt network,168.8418,-119.0461,0.09995133,0.3898137
Continuous asphalt network,169.1338,-119.054,0.09996458,0.2743028
Continuous asphalt network,168.5975,-119.3438,0.1999122,0.3380386
Continuous asphalt network,168.1159,-117.6574,3.198534,0.4006841
Continuous asphalt network,167.9082,-121.9114,3.198593,0.270343
Continuous asphalt network,167.1388,-118.8481,1.599271,0.4006739
Continuous asphalt network,167.72,-119.7765,0.7996483,0.3857942
Continuous asphalt network,168.1075,-120.3955,0.7996617,0.2724669
Continuous asphalt network,166.3358,-126.7372,6.397186,0.2581435
Continuous asphalt network,166.8398,-121.122,0.1998984,0.3275279
Continuous asphalt network,166.646,-120.8125,0.1999163,0.4006842
Continuous asphalt network,166.5941,-121.876,0.1999299,0.2665054
Continuous asphalt network,166.4017,-121.1102,0.09996897,0.4006943
Continuous asphalt network,166.5955,-121.4196,0.09995925,0.2718791
Continuous asphalt network,166.201,-123.0824,0.3998181,0.2561052
Continuous asphalt network,166.2291,-121.8661,0.09992492,0.3889714
Continuous asphalt network,166.2796,-121.259,0.09992461,0.4005688
Continuous asphalt network,166.3498,-122.1737,0.1999073,0.2565483
Continuous asphalt network,166.6502,-119.4435,1.599299,0.4006848
Continuous asphalt network,166.931,-123.1021,3.198606,0.25752
Continuous asphalt network,168.1383,-110.3558,1.59929,0.3664114
Continuous asphalt network,168.0849,-111.8756,0.09995553,0.5315571
Continuous asphalt network,168.0351,-112.2546,0.04997886,0.6617637
Continuous asphalt network,167.9382,-112.0999,0.04998111,0.4755833
Continuous asphalt network,167.842,-111.717,0.1999166,0.3664268
Continuous asphalt network,167.7901,-112.7805,0.1999073,0.6617914
Continuous asphalt network,167.5978,-112.0147,0.09995655,0.3713157
Continuous asphalt network,167.7431,-112.2468,0.04998,0.4755875
Continuous asphalt network,167.84,-112.4015,0.04997775,0.6617681
Continuous asphalt network,167.6497,-110.9511,0.7996703,0.366409
Continuous asphalt network,167.251,-113.983,0.7996617,0.6618052
Continuous asphalt network,166.9057,-115.495,0.1999226,0.6241075
Continuous asphalt network,166.6839,-116.4018,0.09993893,0.4007104
Continuous asphalt network,166.7105,-115.6419,0.04997129,0.7679775
Continuous asphalt network,166.7337,-116.0228,0.02498464,0.5178846
Continuous asphalt network,166.7828,-115.872,0.02497578,0.5084258
Continuous asphalt network,166.9085,-114.5823,0.3998399,0.6617722
Continuous asphalt network,167.1611,-111.5465,0.7996272,0.3519633
Continuous asphalt network,167.1078,-113.0664,0.09995104,0.6010938
Continuous asphalt network,167.1576,-112.6874,0.04997868,0.3663786
Continuous asphalt network,167.2545,-112.8421,0.04997868,0.6565869
Continuous asphalt network,167.3507,-113.225,0.1999155,0.6617749
Continuous asphalt network,167.4026,-112.1615,0.199919,0.3918798
Continuous asphalt network,167.595,-112.9274,0.09995366,0.6617715
Continuous asphalt network,167.4497,-112.6953,0.04998056,0.6577289
Continuous asphalt network,167.3528,-112.5405,0.04998056,0.3657233
Continuous asphalt network,167.8574,-106.6971,0.7996441,0.5760156
Continuous asphalt network,167.4138,-108.5107,0.3997755,0.3805485
Continuous asphalt network,167.5149,-107.2964,0.3997883,0.5760232
Continuous asphalt network,167.717,-104.8678,0.3998186,0.5486687
Continuous asphalt network,167.7704,-103.348,0.1999196,0.3776706
Continuous asphalt network,167.7683,-104.0325,0.04998223,0.3776526
Continuous asphalt network,167.8651,-104.1872,0.04997608,0.5571071
Continuous asphalt network,167.8911,-103.6555,0.0499801,0.3776694
Continuous asphalt network,167.9873,-104.0384,0.02498799,0.527056
Continuous asphalt network,167.8904,-103.8837,0.02499084,0.3776568
Continuous asphalt network,167.9585,-105.4828,0.7996575,0.5760074
Continuous asphalt network,167.9473,-109.1336,1.599324,0.3759964
Continuous asphalt network,168.2449,-107.3161,0.7996348,0.5760255
Continuous asphalt network,168.4359,-108.5383,0.7996278,0.3754449
Continuous asphalt network,167.7817,-115.5186,0.09994601,0.6619346
Continuous asphalt network,167.7565,-115.8222,0.02498574,0.6618477
Continuous asphalt network,167.7073,-115.973,0.0249864,0.4942437
Continuous asphalt network,167.635,-115.7428,0.04997709,0.6618183
Continuous asphalt network,167.5389,-115.3599,0.1999099,0.661858
Continuous asphalt network,168.4149,-115.3835,0.1999118,0.6617625
Continuous asphalt network,168.0731,-115.7546,0.04998558,0.6616555
Continuous asphalt network,167.8533,-115.9769,0.02499643,0.4940578
Continuous asphalt network,167.9025,-115.8261,0.02499578,0.661656
Continuous asphalt network,168.0738,-115.5265,0.09995798,0.6617534
Continuous asphalt network,167.0489,-116.4116,0.3998363,0.4006668
Continuous asphalt network,167.1485,-115.6537,0.1999159,0.668385
Continuous asphalt network,167.4399,-115.8897,0.04997765,0.6836162
Continuous asphalt network,167.5368,-116.0445,0.04997988,0.4894919
Continuous asphalt network,167.0987,-116.0327,0.04998522,0.5034209
Continuous asphalt network,167.2939,-115.8858,0.04998279,0.4822288
Continuous asphalt network,167.9305,-114.6098,1.599287,0.661804
Continuous asphalt network,168.801,-116.4588,0.3998221,0.4007576
Continuous asphalt network,168.9491,-115.7782,0.0499799,0.6618975
Continuous asphalt network,168.7294,-116.0005,0.02498835,0.4696353
Continuous asphalt network,168.7785,-115.8497,0.02498813,0.6619
Continuous asphalt network,168.9498,-115.5501,0.09995162,0.6618674
Continuous asphalt network,169.1674,-116.0123,0.02499317,0.4582006
Continuous asphalt network,169.2166,-115.8615,0.02499735,0.6616119
Continuous asphalt network,169.2889,-116.0917,0.04997683,0.4412398
Continuous asphalt network,168.8508,-116.0799,0.04998566,0.4520868
Continuous asphalt network,169.0706,-115.8576,0.02499302,0.6616324
Continuous asphalt network,169.0214,-116.0084,0.02498884,0.4582596
Continuous asphalt network,169.2868,-116.7762,0.799642,0.4006668
Continuous asphalt network,167.5347,-116.729,0.7996255,0.4007065
Continuous asphalt network,168.2914,-115.9887,0.02498865,0.4813171
Continuous asphalt network,168.3405,-115.8379,0.02498777,0.66175
Continuous asphalt network,168.4128,-116.0681,0.04997675,0.4637678
Continuous asphalt network,167.9748,-116.0563,0.04997217,0.4763041
Continuous asphalt network,168.1945,-115.834,0.02498664,0.6619447
Continuous asphalt network,168.1454,-115.9848,0.02498752,0.4815118
Continuous asphalt network,168.6578,-115.5422,0.09994248,0.6617679
Continuous asphalt network,168.6325,-115.8458,0.02499302,0.6617819
Continuous asphalt network,168.5834,-115.9966,0.02499325,0.4694822
Continuous asphalt network,168.5111,-115.7664,0.04997876,0.6617634
Continuous asphalt network,168.217,-116.4431,0.3998048,0.4006644
Continuous asphalt network,168.5202,-112.8002,1.599285,0.6531711
Continuous asphalt network,168.6226,-111.1295,0.1999144,0.3859644
Continuous asphalt network,168.8164,-111.439,0.1999166,0.660655
Continuous asphalt network,168.8683,-110.3755,0.1999163,0.3664028
Continuous asphalt network,169.0122,-111.0639,0.02498683,0.5895488
Continuous asphalt network,169.0494,-110.8368,0.01249314,0.3844942
Continuous asphalt network,169.0733,-110.9895,0.01249314,0.5989155
Continuous asphalt network,169.0845,-111.2941,0.04997523,0.6618272
Continuous asphalt network,168.8669,-110.8318,0.09995887,0.3878708
Continuous asphalt network,169.0087,-112.2048,0.7996432,0.6517359
Continuous asphalt network,169.3906,-114.6492,0.799655,0.66177
Continuous asphalt network,169.6055,-116.0241,0.02498994,0.4477935
Continuous asphalt network,169.6546,-115.8733,0.02498405,0.6616765
Continuous asphalt network,169.7269,-116.1035,0.04997486,0.4311346
Continuous asphalt network,169.7529,-115.5717,0.04997916,0.6617683
Continuous asphalt network,169.8371,-115.8782,0.01249234,0.6617996
Continuous asphalt network,169.861,-116.031,0.01249438,0.4383949
Continuous asphalt network,169.7522,-115.7999,0.02498925,0.6616767
Continuous asphalt network,169.8231,-116.4864,0.1999059,0.4006656
Continuous asphalt network,169.5339,-115.5658,0.09996225,0.6618413
Continuous asphalt network,169.5086,-115.8694,0.02498236,0.6619028
Continuous asphalt network,169.4595,-116.0202,0.02498825,0.4479997
Continuous asphalt network,169.3872,-115.79,0.04998596,0.6616141
Continuous asphalt network,169.291,-115.4071,0.1999021,0.6618559
Continuous asphalt network,168.7111,-114.0223,1.599278,0.6618031
Continuous asphalt network,167.692,-128.9035,0.7996408,0.2076526
Continuous asphalt network,167.3046,-128.2846,0.7996073,0.251624
Continuous asphalt network,168.6664,-128.6255,1.599305,0.2074202
Continuous asphalt network,166.3246,-130.388,1.599278,0.2150533
Continuous asphalt network,166.524,-128.872,0.7996392,0.258804
Continuous asphalt network,166.9115,-129.491,0.7996728,0.216041
Continuous asphalt network,167.7005,-126.1654,3.19856,0.258804
Continuous asphalt network,169.0595,-127.4191,1.599313,0.2069663
Continuous asphalt network,167.8914,-127.3876,1.599262,0.2498666
Continuous asphalt network,170.0254,-129.8792,3.198633,0.2074183
Continuous asphalt network,171.1907,-130.8233,0.7996148,0.2074379
Continuous asphalt network,171.7733,-131.2954,0.1999131,0.1755928
Continuous asphalt network,172.1131,-131.6088,0.09994621,0.04709912
Continuous asphalt network,171.8211,-131.601,0.09995206,0.2073549
Continuous asphalt network,171.2862,-131.4344,0.3998465,0.2074302
Continuous asphalt network,170.2164,-131.1013,1.599216,0.2074228
Continuous asphalt network,168.0768,-130.4352,6.397175,0.2074273
Continuous asphalt network,169.2672,-123.1651,6.397122,0.2580004
Continuous asphalt network,169.6659,-120.1332,1.599276,0.2570161
Continuous asphalt network,169.8652,-118.6173,0.3998189,0.2552986
Continuous asphalt network,170.014,-117.7085,0.1999075,0.3307995
Continuous asphalt network,170.1095,-118.3196,0.1999143,0.3244704
Continuous asphalt network,170.1545,-119.5379,0.7996218,0.257021
Continuous asphalt network,170.2443,-121.9744,3.19855,0.2562757
Continuous asphalt network,171.0081,-126.8631,3.198566,0.2071028
Continuous asphalt network,171.6821,-129.3153,0.7996403,0.190388
Continuous asphalt network,172.0668,-130.8469,0.3998196,0.1049001
Continuous asphalt network,171.6793,-130.228,0.3998105,0.1892276
Continuous asphalt network,171.0026,-128.6885,1.599322,0.2074209
Continuous asphalt network,170.0366,-126.2284,3.198589,0.2279394
Continuous asphalt network,169.2616,-124.9904,3.198589,0.2588109
Continuous asphalt network,147.4855,11.79702,24.68318,0.02677106
Continuous asphalt network,154.2874,12.49753,12.34159,0.02720843
Continuous asphalt network,150.0644,10.44978,12.34157,0.02958797
Continuous asphalt network,169.6152,23.32881,60.24237,0.05333012
Continuous asphalt network,186.3817,17.18921,4.38965,0.07022379
Continuous asphalt network,188.7307,17.77325,4.389697,0.09884878
Continuous asphalt network,184.8843,15.15582,8.779217,0.07031859
Continuous asphalt network,187.0275,20.67197,4.389611,0.08212256
Continuous asphalt network,189.0536,19.51462,4.389643,0.1024762
Continuous asphalt network,185.6916,19.50927,8.7793,0.07883828
Continuous asphalt network,181.1993,13.40912,35.11711,0.06622009
Continuous asphalt network,174.9354,1.78389,11.45141,0.07379467
Continuous asphalt network,176.1969,-0.711848,11.45122,0.09438729
Continuous asphalt network,128.8877,-14.12479,18.68944,0.05079911
Continuous asphalt network,124.5069,-20.86996,2.336213,0.03371566
Continuous asphalt network,123.4188,-22.30844,2.33619,0.000668745
Continuous asphalt network,121.7865,-24.46615,4.672432,0.0006687372
Continuous asphalt network,125.9373,-16.59363,2.336203,0.06065292
Continuous asphalt network,127.4687,-13.3766,0.5840331,0.06065474
Continuous asphalt network,128.2988,-11.8021,0.5840256,0.07523905
Continuous asphalt network,127.3116,-14.29989,1.168108,0.060653
Continuous asphalt network,125.6232,-18.4402,4.67239,0.04403181
Continuous asphalt network,133.9249,-2.69515,4.672357,0.04628673
Continuous asphalt network,130.9183,-7.146596,2.336266,0.06646407
Continuous asphalt network,132.5787,-3.997579,2.336231,0.05492109
Continuous asphalt network,136.1573,2.164388,9.344743,0.04155876
Continuous asphalt network,131.1202,-9.265239,9.344816,0.06890209
Continuous asphalt network,133.2965,-6.388285,9.34473,0.04577609
Continuous asphalt network,122.2463,-26.72082,9.344716,0.01390261
Continuous asphalt network,124.4367,-23.34821,1.168086,0.03241706
Continuous asphalt network,123.3766,-23.79539,1.168074,0
Continuous asphalt network,124.9948,-22.13333,2.336184,0.03290918
Continuous asphalt network,124.9106,-25.10723,2.336208,0.03106843
Continuous asphalt network,123.3485,-24.78669,1.168099,0
Continuous asphalt network,124.4086,-24.33951,1.16811,0.03241705
Continuous asphalt network,123.2222,-29.24756,18.68957,0.008992425
Continuous asphalt network,129.3475,-16.37945,9.344852,0.04160616
Continuous asphalt network,127.4011,-20.38372,4.672375,0.04205855
Continuous asphalt network,129.2914,-18.36205,2.336179,0.04326349
Continuous asphalt network,128.7192,-20.07258,2.336221,0.02626164
Continuous asphalt network,127.0027,-25.20421,4.672463,0.02559359
Continuous asphalt network,125.8303,-29.61659,2.336187,0.0177778
Continuous asphalt network,125.8864,-27.63398,2.336208,0.01685681
Continuous asphalt network,126.5428,-22.94953,9.344787,0.03433478
Continuous asphalt network,95.75363,29.38976,24.53808,0
Continuous asphalt network,58.40635,-28.56162,76.33319,0
Continuous asphalt network,68.36301,-9.636067,38.16665,0
Continuous asphalt network,63.37269,-22.529,38.16647,0
Continuous asphalt network,44.70572,-45.04685,4.091651,0.0353745
Continuous asphalt network,41.53864,-45.42626,4.09159,0.01306173
Continuous asphalt network,49.03444,-43.3799,8.183295,0.03428073
Continuous asphalt network,39.00439,-47.45242,8.183182,0.001027931
Continuous asphalt network,43.54407,-46.33438,4.091612,0.03981108
Continuous asphalt network,40.79887,-47.81163,4.09162,0.04341329
Continuous asphalt network,33.9359,-51.50473,4.09156,0.01930373
Continuous asphalt network,31.19072,-52.98197,4.091637,0.05875113
Continuous asphalt network,27.07294,-55.19783,8.183271,0.05821932
Continuous asphalt network,34.88661,-49.66828,16.36639,0.003761507
Continuous asphalt network,47.97972,-40.63532,65.4659,0.01015776
Continuous asphalt network,18.166,-55.35383,18.99969,0.05722645
Continuous asphalt network,21.17064,-52.74333,0.5937265,0.0564617
Continuous asphalt network,21.31475,-52.00335,0.5937691,0.0248038
Continuous asphalt network,21.75122,-53.42455,1.1875,0.05646054
Continuous asphalt network,19.79336,-52.49082,1.18747,0.0455719
Continuous asphalt network,20.66213,-51.69211,0.5937631,0.01404752
Continuous asphalt network,20.51802,-52.43209,0.5937204,0.05548155
Continuous asphalt network,22.58186,-50.99026,2.374953,0.001338951
Continuous asphalt network,22.54793,-52.99582,1.187476,0.05646082
Continuous asphalt network,22.03941,-51.9446,1.187467,0.03396985
Continuous asphalt network,21.06466,-55.11886,9.499838,0.05662796
Continuous asphalt network,28.01476,-48.72914,18.99965,0
Continuous asphalt network,23.96333,-54.88389,9.499784,0.0577021
Continuous asphalt network,25.01013,-51.33965,0.5937365,0
Continuous asphalt network,24.86602,-52.07961,0.5937348,0.05029044
Continuous asphalt network,24.42956,-50.65842,1.187491,0
Continuous asphalt network,26.38741,-51.59216,1.187489,0.01712829
Continuous asphalt network,25.51865,-52.39086,0.5937338,0.04897965
Continuous asphalt network,25.66274,-51.6509,0.5937356,0.01785885
Continuous asphalt network,23.59891,-53.0927,2.374957,0.05646087
Continuous asphalt network,23.63283,-51.08715,1.187479,0.001728194
Continuous asphalt network,24.14136,-52.13836,1.187463,0.03143747
Continuous asphalt network,40.76221,-41.86949,37.99953,0
Continuous asphalt network,33.15948,-47.94796,18.99974,0.004176856
Continuous asphalt network,26.20938,-54.33767,9.499801,0.05023943
Continuous asphalt network,29.97262,-49.66287,9.499773,0.01733429
Continuous asphalt network,87.26346,98.33961,8.357895,0.006521621
Continuous asphalt network,82.12653,99.24207,4.290078,0.00697424
Continuous asphalt network,83.70853,101.0716,4.290067,0.02346181
Continuous asphalt network,82.80956,97.62153,8.579912,0
Continuous asphalt network,78.38747,99.73876,8.57991,0.01076922
Continuous asphalt network,82.2345,101.7774,4.289853,0.02650809
Continuous asphalt network,80.65249,99.94781,4.289864,0.01215767
Continuous asphalt network,72.49133,102.5617,17.15993,0
Continuous asphalt network,78.52243,102.9079,4.289935,0.03038892
Continuous asphalt network,81.52448,102.764,4.289962,0.02403647
Continuous asphalt network,76.96741,101.7122,8.579954,0.008360822
Continuous asphalt network,60.69905,108.2077,34.3194,0
Continuous asphalt network,69.62422,105.8747,17.15977,0
Continuous asphalt network,77.08887,104.5644,4.290077,0.02180968
Continuous asphalt network,81.56497,103.7148,2.145015,0.01572454
Continuous asphalt network,78.56292,103.8586,2.145001,0.02431967
Continuous asphalt network,72.5723,104.4632,8.580165,0
Continuous asphalt network,43.01065,116.6766,34.31966,0
Continuous asphalt network,25.29524,124.5117,17.15884,0
Continuous asphalt network,37.14151,120.1334,17.15891,0
Continuous asphalt network,54.88391,112.9321,34.31966,0
Continuous asphalt network,69.71871,108.0931,8.580111,0
Continuous asphalt network,77.13612,105.6736,2.144969,0.02191747
Continuous asphalt network,81.58523,104.1901,1.072598,0.002365643
Continuous asphalt network,78.61015,104.9678,1.072595,0.02205463
Continuous asphalt network,72.66676,106.6816,4.289913,0
Continuous asphalt network,60.78003,110.1092,17.16017,0
Continuous asphalt network,7.633831,133.6145,34.31992,0
Continuous asphalt network,-10.08157,141.4496,17.15996,0
Continuous asphalt network,1.76469,137.0713,17.15993,0
Continuous asphalt network,-27.76996,149.9185,17.15955,0
Continuous asphalt network,-45.47184,158.0705,8.579787,0
Continuous asphalt network,-33.65259,153.0584,8.579773,0
Continuous asphalt network,-15.93719,145.2233,17.15962,0
Continuous asphalt network,1.805208,138.022,8.580152,0
Continuous asphalt network,-10.04105,142.4003,8.580167,0
Continuous asphalt network,19.4936,129.5531,34.31987,0
Continuous asphalt network,37.24949,122.6687,17.16036,0
Continuous asphalt network,25.37624,126.4132,17.16038,0
Continuous asphalt network,54.97838,115.1505,17.15998,0
Continuous asphalt network,69.76595,109.2023,4.289968,0
Continuous asphalt network,77.15975,106.2282,1.072435,0.02197167
Continuous asphalt network,81.59536,104.4278,0.5362247,0.002365368
Continuous asphalt network,78.6338,105.5224,0.5362284,0.02226989
Continuous asphalt network,72.71403,107.7908,2.144848,0
Continuous asphalt network,60.87452,112.3275,8.579956,0
Continuous asphalt network,43.11862,119.2119,17.16002,0
Continuous asphalt network,25.33573,125.4624,8.580681,0
Continuous asphalt network,37.20898,121.7179,8.580673,0
Continuous asphalt network,-148.6687,52.36654,6.099879,0.00324172
Continuous asphalt network,-147.3372,57.38869,53.16111,0.002107067
Continuous asphalt network,-141.5506,70.85226,26.58024,0
Continuous asphalt network,-143.6711,61.83549,26.58024,0
Continuous asphalt network,-134.461,84.28503,26.58086,0
Continuous asphalt network,-128.0229,97.73318,13.28999,0
Continuous asphalt network,-131.4463,88.74722,13.29005,0
Continuous asphalt network,-137.233,75.28365,26.58089,0
Continuous asphalt network,-141.7167,61.7893,13.2903,0
Continuous asphalt network,-139.5962,70.80606,13.2903,0
Continuous asphalt network,-120.2818,111.1506,26.5805,0
Continuous asphalt network,-113.8437,124.5987,13.29038,0
Continuous asphalt network,-117.2672,115.6127,13.29035,0
Continuous asphalt network,-106.7541,138.0314,13.28981,0
Continuous asphalt network,-99.9903,151.4719,6.645165,0
Continuous asphalt network,-104.0652,142.5013,6.645151,0
Continuous asphalt network,-110.5033,129.0532,13.28979,0
Continuous asphalt network,-116.29,115.5896,6.645262,0
Continuous asphalt network,-112.8665,124.5756,6.645278,0
Continuous asphalt network,-123.3796,102.1569,26.58047,0
Continuous asphalt network,-128.8405,88.68562,13.29024,0
Continuous asphalt network,-126.0685,97.68698,13.29024,0
Continuous asphalt network,-134.9529,75.22977,13.28999,0
Continuous asphalt network,-140.7395,61.7662,6.644969,0
Continuous asphalt network,-137.3161,70.75217,6.644984,0
Continuous asphalt network,-131.8551,84.22344,13.29002,0
Continuous asphalt network,-127.0457,97.71008,6.645008,0
Continuous asphalt network,-129.8177,88.70872,6.645008,0
Continuous asphalt network,95.83384,111.4173,59.5107,0.0432686
Continuous asphalt network,257.2848,46.37395,1.85655,0.3545746
Continuous asphalt network,258.6482,64.24937,3.496364,0.2768618
Continuous asphalt network,260.8577,63.49927,3.496364,0.2608809
Continuous asphalt network,257.1153,63.36314,6.992897,0.2860099
Continuous asphalt network,254.3917,55.39092,8.541316,0.3057182
Continuous asphalt network,254.88,58.6186,2.135368,0.2992278
Continuous asphalt network,255.4068,60.15785,2.13533,0.2805865
Continuous asphalt network,255.7475,57.55062,4.27067,0.3019148
Continuous asphalt network,256.1268,53.25497,17.08258,0.316484
Continuous asphalt network,261.4685,-39.10021,5.197669,0.06097372
Continuous asphalt network,263.8492,-37.60049,5.197656,0.06664208
Continuous asphalt network,260.9688,-41.11315,1.299418,0.06288143
Continuous asphalt network,261.4008,-42.47839,0.04060562,0.09526373
Continuous asphalt network,261.542,-42.63205,0.04060293,0.1064185
Continuous asphalt network,261.252,-42.57212,0.08122154,0.01388355
Continuous asphalt network,261.4867,-42.06046,0.08121619,0.06288879
Continuous asphalt network,261.6202,-42.46149,0.0406113,0.1189368
Continuous asphalt network,261.4791,-42.30783,0.04061398,0.06287134
Continuous asphalt network,261.5658,-43.04154,0.3248784,0.1035191
Continuous asphalt network,260.9382,-42.10272,0.6496786,0.06288406
Continuous asphalt network,259.9654,-40.53231,2.598848,0.0452622
Continuous asphalt network,262.3785,-40.34638,0.3248557,0.06289088
Continuous asphalt network,262.6141,-40.98636,0.08121982,0.06287219
Continuous asphalt network,262.7476,-41.38742,0.04060333,0.1209987
Continuous asphalt network,262.6064,-41.23375,0.04060634,0.05458194
Continuous asphalt network,262.3632,-40.84116,0.1624325,0.06288552
Continuous asphalt network,261.8768,-40.05597,0.6497208,0.06287611
Continuous asphalt network,263.193,-39.95454,0.6497101,0.06288299
Continuous asphalt network,263.0213,-40.79042,0.1624117,0.05228163
Continuous asphalt network,262.8964,-41.29367,0.08121026,0.07749559
Continuous asphalt network,262.8335,-40.96944,0.08121528,0.05158408
Continuous asphalt network,262.8173,-40.31256,0.3248351,0.0628819
Continuous asphalt network,262.1763,-42.17183,0.1624204,0.1161351
Continuous asphalt network,261.894,-41.86454,0.1624282,0.05070007
Continuous asphalt network,262.4739,-41.98437,0.3248514,0.09044234
Continuous asphalt network,262.0046,-43.00772,0.3248473,0.1144596
Continuous asphalt network,261.769,-42.36775,0.08120487,0.06280863
Continuous asphalt network,261.7061,-42.04355,0.08120062,0.04367463
Continuous asphalt network,262.0199,-42.51295,0.162414,0.1144609
Continuous asphalt network,261.5639,-40.73822,0.6497414,0.06287483
Continuous asphalt network,262.2068,-41.18229,0.1624292,0.06288229
Continuous asphalt network,262.5282,-41.4043,0.04060824,0.09054469
Continuous asphalt network,262.6694,-41.55796,0.04060523,0.1144451
Continuous asphalt network,262.3794,-41.49804,0.08121194,0.01390724
Continuous asphalt network,261.9092,-41.36977,0.3248599,0.06288072
Continuous asphalt network,260.2515,-45.44632,0.6496659,0.104244
Continuous asphalt network,259.374,-45.51395,0.6496935,0.07068163
Continuous asphalt network,261.0031,-44.73026,1.299406,0.09891377
Continuous asphalt network,259.3435,-46.5035,1.299453,0.08344049
Continuous asphalt network,260.221,-46.43587,1.299391,0.06844339
Continuous asphalt network,258.8437,-48.51643,5.197675,0.08078477
Continuous asphalt network,259.8662,-43.74839,0.3248687,0.00962955
Continuous asphalt network,259.8509,-44.24319,0.3248648,0.07087214
Continuous asphalt network,259.2939,-43.38115,0.6497101,0.04174343
Continuous asphalt network,260.8848,-43.83444,0.1624389,0.1066163
Continuous asphalt network,260.4575,-43.49715,0.08122338,0.1142067
Continuous asphalt network,260.7475,-43.55708,0.08122365,0.1144515
Continuous asphalt network,261.3236,-43.80062,0.3248549,0.1102742
Continuous asphalt network,260.4308,-44.36304,0.3248644,0.09900033
Continuous asphalt network,260.3049,-43.71459,0.162423,0.01677925
Continuous asphalt network,260.5872,-44.02191,0.1624248,0.1064708
Continuous asphalt network,258.9505,-45.05298,1.299417,0.08783096
Continuous asphalt network,258.6911,-44.00348,0.3248397,0.0548143
Continuous asphalt network,258.7064,-43.5087,0.3248474,0.04188953
Continuous asphalt network,259.2633,-44.37073,0.6497219,0.06949468
Continuous asphalt network,259.0573,-41.5895,2.598841,0.04416424
Continuous asphalt network,260.4842,-42.63129,0.6496813,0.0628852
Continuous asphalt network,261.3388,-43.30584,0.3248521,0.09714098
Continuous asphalt network,260.7551,-43.30967,0.08121564,0.09748565
Continuous asphalt network,260.4652,-43.24974,0.08121537,0.05938401
Continuous asphalt network,260.9077,-43.09225,0.162421,0.05772747
Continuous asphalt network,259.6067,-42.6989,1.299407,0.04314193
Continuous asphalt network,261.5753,-35.63675,1.29946,0.07447087
Continuous asphalt network,261.5448,-36.62632,1.299407,0.05823347
Continuous asphalt network,260.4308,-34.90227,2.59888,0.08443836
Continuous asphalt network,263.6203,-35.56144,0.3248581,0.07661988
Continuous asphalt network,263.6051,-36.05622,0.324862,0.04215727
Continuous asphalt network,263.0481,-35.19418,0.6497248,0.07662056
Continuous asphalt network,264.7878,-35.55374,0.6496675,0.0717605
Continuous asphalt network,264.185,-36.17607,0.32485,0.04672002
Continuous asphalt network,264.2002,-35.68128,0.3248461,0.07999694
Continuous asphalt network,262.7047,-36.86602,1.299408,0.06288057
Continuous asphalt network,262.4529,-35.56912,0.6497302,0.05531731
Continuous asphalt network,263.0175,-36.18377,0.649737,0.06109166
Continuous asphalt network,259.7746,-37.25633,10.39531,0.05524679
Continuous asphalt network,259.9424,-31.81376,1.29942,0.08258575
Continuous asphalt network,261.1023,-32.05345,1.299398,0.1186804
Continuous asphalt network,259.332,-32.68347,2.598814,0.0810718
Continuous asphalt network,259.4235,-29.7148,2.598903,0.09473794
Continuous asphalt network,261.1328,-31.0639,1.299358,0.1186804
Continuous asphalt network,259.9729,-30.82421,1.29938,0.08258573
Continuous asphalt network,262.7962,-33.89732,1.299378,0.074854
Continuous asphalt network,262.5444,-32.60045,0.6496691,0.1186744
Continuous asphalt network,263.109,-33.21509,0.6496981,0.09573717
Continuous asphalt network,263.9408,-34.63181,2.598736,0.07661916
Continuous asphalt network,260.7589,-33.72525,0.6497101,0.1186885
Continuous asphalt network,261.4724,-34.24614,0.1624419,0.1085511
Continuous asphalt network,261.7547,-34.55344,0.1624333,0.08869887
Continuous asphalt network,261.0336,-34.27996,0.3248619,0.1186809
Continuous asphalt network,259.8814,-33.79287,1.299421,0.07983864
Continuous asphalt network,261.6669,-32.66807,1.299405,0.1186771
Continuous asphalt network,261.9264,-33.71755,0.3248646,0.1057045
Continuous asphalt network,262.0523,-34.36597,0.1624063,0.07661919
Continuous asphalt network,261.7699,-34.05867,0.1624149,0.1007971
Continuous asphalt network,261.3541,-33.35031,0.6497242,0.118675
Continuous asphalt network,260.9839,-21.6969,0.6497101,0.1731339
Continuous asphalt network,259.8088,-21.95197,0.3248686,0.1477772
Continuous asphalt network,260.404,-21.57704,0.3248346,0.1694134
Continuous asphalt network,261.7354,-20.98084,1.299407,0.1737244
Continuous asphalt network,260.0758,-22.75407,1.299366,0.1346065
Continuous asphalt network,260.9533,-22.68645,1.299402,0.1731304
Continuous asphalt network,259.5761,-24.76698,5.197642,0.1395728
Continuous asphalt network,260.8885,-20.0589,2.598828,0.1789043
Continuous asphalt network,259.9805,-21.11606,0.6496797,0.1486873
Continuous asphalt network,259.3853,-21.49099,0.6497478,0.1211566
Continuous asphalt network,259.7134,-20.31397,1.299395,0.1580881
