object,x,z,area,grade
Road 471332807 restored connection,562.5405,-304.4333,4.468048,0
Road 471332807 restored connection,564.5403,-303.4399,4.467957,0
Road 471332807 restored connection,562.5402,-302.944,4.467957,0
Road 471332807 restored connection,564.54,-301.9506,4.468323,0
Road 471332807 restored connection,562.5399,-301.4546,4.467957,0
Road 471332807 restored connection,564.5396,-300.4612,4.468232,0
Road 471332807 restored connection,562.5395,-299.9652,4.467865,0
Road 471332807 restored connection,564.5392,-298.9719,4.467774,0
Road 471332807 restored connection,562.5391,-298.4759,4.468506,0
Road 471332807 restored connection,564.5388,-297.4825,4.467957,0
Road 471332807 restored connection,562.5388,-296.9865,4.467957,0
Road 471332807 restored connection,564.5385,-295.9932,4.468323,0
Road 471332807 restored connection,562.5384,-295.4972,4.467957,0
Road 471332807 restored connection,564.5381,-294.5038,4.468049,0
Road 471332807 restored connection,562.538,-294.0078,4.468049,0
Road 471332807 restored connection,564.5378,-293.0144,4.468049,0
Road 471332807 restored connection,562.5377,-292.5185,4.468049,0
Road 731224474 restored connection,496.9785,-579.9907,4.46305,0.04372996
Road 731224474 restored connection,498.5385,-581.3369,4.463828,0.04306813
Road 731224474 restored connection,496.3062,-581.3179,4.463625,0.04109666
Road 731224474 restored connection,497.8662,-582.6641,4.463625,0.04216365
Road 731224474 restored connection,495.6338,-582.6452,4.463459,0.0410097
Road 731224474 restored connection,497.1939,-583.9914,4.463459,0.04199057
Road 731224474 restored connection,494.9615,-583.9725,4.463789,0.04098728
Road 731224474 restored connection,496.5216,-585.3187,4.463378,0.04196765
Road 731224474 restored connection,494.2892,-585.2998,4.464032,0.04096196
Road 731224474 restored connection,495.8492,-586.646,4.463622,0.04194614
Road 731224474 restored connection,493.6169,-586.6271,4.463049,0.04031391
Road 731224474 restored connection,495.177,-587.9733,4.463869,0.0399304
Road 731224474 restored connection,492.9446,-587.9544,4.463583,0.04026289
Road 731224474 restored connection,494.5046,-589.3006,4.463583,0.03992682
Road 731224474 restored connection,492.2722,-589.2817,4.463459,0.03898008
Road 731224474 restored connection,493.8323,-590.6279,4.463459,0.0399085
Road 731224474 restored connection,491.5999,-590.6089,4.463379,0.03889407
Road 731224474 restored connection,493.1599,-591.9551,4.463789,0.03991358
Road 731224474 restored connection,490.9276,-591.9362,4.463789,0.03949947
Road 731224474 restored connection,492.4876,-593.2824,4.463379,0.04070223
Road 731224474 restored connection,490.2552,-593.2635,4.463869,0.03952073
Road 731224474 restored connection,491.8153,-594.6097,4.463049,0.04068219
Road 731224474 restored connection,489.5829,-594.5908,4.463622,0.03950049
Road 731224474 restored connection,491.143,-595.937,4.464032,0.03904939
Road 731224474 restored connection,488.9106,-595.9182,4.463583,0.03950851
Road 731224474 restored connection,490.4707,-597.2643,4.463583,0.03900098
Road 731224474 restored connection,488.2383,-597.2454,4.463171,0.03794841
Road 731224474 restored connection,489.7984,-598.5916,4.463582,0.03866046
Road 731224474 restored connection,487.566,-598.5727,4.463503,0.03780627
Road 731224474 restored connection,489.126,-599.9189,4.463913,0.03863214
Road 731224474 restored connection,486.8997,-599.8879,4.341896,0.03779426
Road 731224474 restored connection,488.4537,-601.2462,4.584972,0.03862052
Road 731224474 restored connection,486.3214,-601.0297,2.592358,0.03778187
Road 731224474 restored connection,487.7753,-602.5855,6.334892,0.03824648
Road 731224474 restored connection,485.743,-602.1716,2.592384,0.03750117
Road 731224474 restored connection,487.009,-604.0983,6.334291,0.03724766
Road 731224474 restored connection,485.1647,-603.3134,2.592695,0.03672521
Road 731224474 restored connection,486.2428,-605.611,6.334863,0.03724459
Road 731224474 restored connection,484.5863,-604.4553,2.592458,0.03671779
Road 731224474 restored connection,485.4765,-607.1238,6.334661,0.0374928
Road 731224474 restored connection,484.0079,-605.5971,2.59235,0.03670609
Road 731224474 restored connection,484.7102,-608.6365,6.334291,0.03775122
Road 731224474 restored connection,483.4296,-606.7388,2.592218,0.03544809
Road 731224474 restored connection,483.944,-610.1494,6.334991,0.03138761
Road 731224474 restored connection,482.8512,-607.8807,2.592554,0.03464727
Road 731224474 restored connection,483.1777,-611.662,6.334723,0.03030601
Road 731224474 restored connection,482.2728,-609.0225,2.592691,0.03469072
Road 731224474 restored connection,482.4114,-613.1747,6.334419,0.02981637
Road 471332807 ,588.913,-394.573,4.417801,0.1153677
Road 471332807 ,587.3109,-395.8669,4.417801,0.1141845
Road 471332807 ,587.7414,-393.681,4.417489,0.1148025
Road 471332807 ,586.1392,-394.9749,4.417564,0.113734
Road 471332807 ,586.5698,-392.7889,4.417675,0.1142219
Road 471332807 ,584.9677,-394.0828,4.4176,0.1139207
Road 471332807 ,585.3983,-391.8968,4.417746,0.1139745
Road 471332807 ,583.7961,-393.1908,4.417746,0.1141539
Road 471332807 ,584.2266,-391.0048,4.4176,0.1137359
Road 471332807 ,582.6245,-392.2987,4.4176,0.1139955
Road 471332807 ,583.055,-390.1127,4.417801,0.1139157
Road 471332807 ,581.4529,-391.4066,4.417801,0.1137745
Road 471332807 ,581.8834,-389.2206,4.417489,0.1144644
Road 471332807 ,580.2813,-390.5146,4.417564,0.1128941
Road 471332807 ,580.7119,-388.3286,4.417418,0.1135191
Road 471332807 ,579.1097,-389.6225,4.417839,0.1123206
Road 471332807 ,579.5403,-387.4365,4.417895,0.1125778
Road 471332807 ,577.9382,-388.7303,4.417398,0.1116691
Road 471332807 ,578.3687,-386.5444,4.417746,0.1121396
Road 471332807 ,576.7665,-387.8383,4.417746,0.1111188
Road 471332807 ,577.1971,-385.6523,4.417544,0.1116441
Road 471332807 ,575.595,-386.9463,4.417619,0.1106238
Road 471332807 ,576.0255,-384.7603,4.417619,0.1108303
Road 471332807 ,574.4234,-386.0542,4.417544,0.1111733
Road 471332807 ,574.8539,-383.8683,4.417746,0.1106462
Road 471332807 ,573.2518,-385.1621,4.417746,0.1106654
Road 471332807 ,573.6823,-382.9762,4.417655,0.1106569
Road 471332807 ,572.0801,-384.2701,4.417655,0.1103685
Road 471332807 ,572.5107,-382.0841,4.417746,0.110582
Road 471332807 ,570.9086,-383.378,4.417746,0.1101523
Road 471332807 ,571.3391,-381.192,4.417544,0.1104518
