object,triangle,x,y,z,areaM2,grade
"Road 471332807 restored connection",64,564.045,9.21513,-323.236053,0.06980897,0.04284236
"Road 471332807 restored connection",65,564.795,9.278812,-323.111725,0.139640823,0.113007382
"Road 471332807 restored connection",66,562.545,9.188659,-323.0502,1.11712658,0.007374743
"Road 471332807 restored connection",67,566.044861,9.407296,-322.677032,1.11712635,0.12478742
"Road 471332807 restored connection",68,565.044861,9.306725,-322.429047,1.11709225,0.07816346
"Road 471332807 restored connection",69,562.544739,9.184344,-322.057343,1.1168977,0.00567256846
"Road 471332807 restored connection",70,565.044739,9.304019,-321.9326,0.558471739,0.08965938
"Road 471332807 restored connection",71,564.294739,9.233806,-322.118927,0.27923578,0.101366945
"Road 471332807 restored connection",72,563.794739,9.198794,-322.243164,0.279218733,0.04230686
"Road 471332807 restored connection",73,561.544861,9.182906,-322.554,2.23384118,0.004724839
"Road 471332807 restored connection",74,563.7945,9.19142151,-321.3744,0.279258758,0.0291702561
"Road 471332807 restored connection",75,564.2946,9.221498,-321.498383,0.279258758,0.09885678
"Road 471332807 restored connection",76,565.0446,9.29676,-321.684357,0.5585175,0.125698656
"Road 471332807 restored connection",77,562.5446,9.182021,-321.5609,1.117035,0.005500223
"Road 471332807 restored connection",78,566.0445,9.356589,-321.187622,1.11704636,0.104144149
"Road 471332807 restored connection",79,565.044434,9.273841,-320.939667,1.11704636,0.0605802722
"Road 471332807 restored connection",80,562.5443,9.178052,-320.568,1.117035,0.00520474045
"Road 471332807 restored connection",81,564.5443,9.242629,-320.567474,1.117035,0.0622713342
"Road 471332807 restored connection",82,561.544434,9.177276,-321.0647,2.23404717,0.004392555
"Road 471332807 restored connection",83,564.5442,9.240139,-320.071,1.11698925,0.0623414628
"Road 471332807 restored connection",84,562.5442,9.175563,-320.071533,1.11698925,0.00598549843
"Road 471332807 restored connection",85,565.544,9.27852,-319.5743,2.23393273,0.07032328
"Road 471332807 restored connection",86,562.543945,9.170585,-319.0786,1.117035,0.00633995375
"Road 471332807 restored connection",87,564.543945,9.21355,-319.078125,1.117035,0.0416986868
"Road 471332807 restored connection",88,561.5441,9.1709795,-319.575348,2.23411584,0.004774668
"Road 471332807 restored connection",89,564.5438,9.210708,-318.581665,1.11698925,0.0415945053
"Road 471332807 restored connection",90,562.5438,9.167743,-318.582153,1.11698925,0.00561405253
"Road 471332807 restored connection",91,565.5437,9.22851849,-318.085,2.23397851,0.05640294
"Road 471332807 restored connection",92,562.5436,9.16273,-317.589233,1.11708081,0.0060359803
"Road 471332807 restored connection",93,564.5436,9.18447,-317.588776,1.11708081,0.0214453172
"Road 471332807 restored connection",94,561.5437,9.163814,-318.085938,2.23416162,0.00470432639
"Road 471332807 restored connection",95,564.543457,9.181483,-317.092316,1.11698925,0.0214942582
"Road 471332807 restored connection",96,562.543457,9.159743,-317.092773,1.11698925,0.006207632
"Road 471332807 restored connection",97,565.5434,9.185505,-316.595673,2.23400116,0.0361637324
"Road 471332807 restored connection",98,562.5433,9.162784,-316.3481,4.46795654,0.00426272862
"Road 471332807 restored connection",99,564.5431,9.166776,-315.354767,4.46814,0.00400912156
"Road 471332807 restored connection",100,562.542969,9.160259,-314.858734,4.46814,0.00267855288
"Road 471332807 restored connection",101,564.5427,9.164307,-313.8654,4.46795654,0.003759664
"Road 471332807 restored connection",102,562.542664,9.15895,-313.369415,4.46795654,0.002023697
"Road 471332807 restored connection",103,564.5424,9.161925,-312.376038,4.468323,0.00295917015
"Road 471332807 restored connection",104,562.5423,9.157878,-311.880035,4.467957,0.00148773182
"Road 471332807 restored connection",105,564.542053,9.159284,-310.8867,4.46804857,0.003494458
"Road 471332807 restored connection",106,562.541931,9.156308,-310.390717,4.46804857,0.0007028579
"Road 471332807 restored connection",107,564.5417,9.156513,-309.3973,4.46804857,0.00251796865
"Road 471332807 restored connection",108,562.541565,9.155108,-308.901367,4.46804857,0.000102678925
"Road 471332807 restored connection",109,564.5413,9.155108,-307.907959,4.46814,0.000426197657
"Road 471332807 restored connection",110,562.5412,9.154902,-307.412,4.46814,0
"Road 471332807 restored connection",111,564.540955,9.154902,-306.4186,4.467774,0
"Road 471332807 restored connection",112,562.540833,9.154902,-305.922638,4.46814,0
"Road 471332807 restored connection",113,564.5406,9.154902,-304.9293,4.468048,0
"Road 471332807 restored connection",114,562.540466,9.154902,-304.433258,4.468048,0
"Road 471332807 restored connection",115,564.5403,9.154902,-303.439941,4.467957,0
"Road 471332807 restored connection",116,562.540161,9.154902,-302.94397,4.467957,0
"Road 471332807 restored connection",117,564.54,9.154902,-301.9506,4.46832275,0
"Road 471332807 restored connection",118,562.539856,9.154902,-301.4546,4.46795654,0
"Road 471332807 restored connection",119,564.5396,9.154902,-300.4612,4.46823168,0
"Road 471332807 restored connection",120,562.5395,9.154902,-299.96524,4.46786547,0
"Road 471332807 restored connection",121,564.5392,9.154902,-298.9719,4.467774,0
"Road 471332807 restored connection",122,562.539063,9.154902,-298.475922,4.46850634,0
"Road 471332807 restored connection",123,564.5388,9.154902,-297.4825,4.46795654,0
"Road 471332807 restored connection",124,562.538757,9.154902,-296.986542,4.46795654,0
"Road 471332807 restored connection",125,564.5385,9.154902,-295.993164,4.468323,0
"Road 471332807 restored connection",126,562.5384,9.154902,-295.497162,4.467957,0
"Road 471332807 restored connection",127,564.538147,9.154902,-294.503784,4.46804857,0
"Road 471332807 restored connection",128,562.538,9.154902,-294.0078,4.46804857,0
"Road 471332807 restored connection",129,564.5378,9.154902,-293.014435,4.46804857,0
"Road 471332807 restored connection",130,562.537659,9.154902,-292.5185,4.46804857,0
"Continuous asphalt network",0,-89.74467,-5.45944643,-246.441162,49.09149,0.0019278141
"Continuous asphalt network",1,-112.5224,-5.47174072,-271.843842,65.24718,0
"Continuous asphalt network",2,-102.12191,-5.470694,-256.197784,32.6234627,0.0001684101
"Continuous asphalt network",3,-107.6632,-5.47174072,-267.322052,32.62357,0
"Continuous asphalt network",4,-174.925552,-5.47469139,-196.370926,62.0162621,0.000123525009
"Continuous asphalt network",5,-190.255,-5.476957,-188.645935,31.00783,0.0006668728
"Continuous asphalt network",6,-179.92247,-5.4756875,-192.05481,31.0078621,0.00065013807
"Continuous asphalt network",7,-188.386475,-5.477427,-184.328781,27.8968849,0.0003308703
