name,beforeGapM,afterGapM,deltaM
Grove tree 008,0.1199999,-0.01999998,-0.1399999
Grove tree 047,0.1199951,-0.01999998,-0.1399951
Grove tree 075,0.1199999,-0.0199995,-0.1399999
BroadleafTree_05_Green,0.1210804,-0.01999998,-0.1410804
BroadleafTree_02_Green,0.1215019,-0.02000046,-0.1415019
Grove tree 098,0.1199999,-0.01999998,-0.1399999
Grove tree 160,0.1199923,-0.01999998,-0.1399923
Grove tree 040,0.1200001,-0.02000022,-0.1400001
Lakeside willow 5,0.1467137,-0.01999998,-0.1667137
Lakeside willow 4,0.1493082,-0.01999998,-0.1693082
BroadleafTree_05_Green,0.1198711,-0.01999998,-0.1398711
Grove tree 159,0.1199999,-0.01999998,-0.1399999
Lakeside willow 8,0.1467195,-0.01999998,-0.1667195
BroadleafTree_02_Green,0.1200733,-0.02000046,-0.1400733
Grove tree 217,0.1200094,-0.01999998,-0.1400094
Grove tree 037,0.1199999,-0.0199995,-0.1399999
Grove tree 128,0.1199999,-0.01999998,-0.1399999
Grove tree 078,0.1199999,-0.01999998,-0.1399999
Grove tree 073,0.1199999,-0.01999998,-0.1399999
Grove tree 137,0.1199999,-0.02000046,-0.1399999
BroadleafTree_05_Green,0.1198816,-0.01999998,-0.1398816
Grove tree 063,0.1200047,-0.01999998,-0.1400046
Lakeside willow 2,0.1467195,-0.01999998,-0.1667195
Grove tree 032,0.1199999,-0.01999998,-0.1399999
Grove tree 031,0.1199999,-0.01999998,-0.1399999
Grove tree 200,0.1199999,-0.01999998,-0.1399999
Grove tree 189,0.1199999,-0.01999998,-0.1399999
Grove tree 231,0.1200001,-0.02000022,-0.1400001
BroadleafTree_02_Green,0.121202,-0.01999998,-0.141202
Grove tree 095,0.1199999,-0.01999998,-0.1399999
Grove tree 074,0.1199999,-0.01999998,-0.1399999
Grove tree 009,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1200409,-0.0199995,-0.1400409
Grove tree 120,0.1199999,-0.01999998,-0.1399999
Grove tree 135,0.1199999,-0.01999998,-0.1399999
Grove tree 228,0.1199932,-0.01999998,-0.1399932
Grove tree 007,0.1199999,-0.01999998,-0.1399999
Grove tree 014,0.1199895,-0.01999998,-0.1399895
Grove tree 167,0.1199999,-0.01999998,-0.1399999
Grove tree 181,0.1199999,-0.01999998,-0.1399999
Grove tree 027,0.1199999,-0.02000046,-0.1399999
Grove tree 151,0.1199999,-0.01999998,-0.1399999
Grove tree 085,0.1199999,-0.01999998,-0.1399999
Grove tree 028,0.1199999,-0.01999998,-0.1399999
Grove tree 180,0.1199999,-0.01999998,-0.1399999
Grove tree 036,0.1199999,-0.0199995,-0.1399999
Grove tree 002,0.1200001,-0.02000022,-0.1400001
Grove tree 039,0.1199989,-0.01999998,-0.1399989
Grove tree 116,0.1199999,-0.01999986,-0.1399999
Grove tree 026,0.1200047,-0.0199995,-0.1400046
Grove tree 140,0.1199999,-0.02000046,-0.1399999
Grove tree 171,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1211119,-0.01999998,-0.1411119
Grove tree 087,0.1200094,-0.01999998,-0.1400094
Grove tree 007,0.1200001,-0.02000022,-0.1400001
Grove tree 216,0.1199999,-0.0199995,-0.1399999
Lakeside willow 9,0.1483645,-0.01999998,-0.1683645
Grove tree 163,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1202116,-0.02000046,-0.1402116
Grove tree 040,0.1199999,-0.0199995,-0.1399999
BroadleafTree_02_Green,0.1200571,-0.01999998,-0.1400571
Grove tree 198,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1212301,-0.01999998,-0.1412301
Grove tree 209,0.1199999,-0.01999998,-0.1399999
Grove tree 103,0.1199999,-0.01999998,-0.1399999
Grove tree 000,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1200604,-0.01999998,-0.1400604
Grove tree 237,0.1200008,-0.01999998,-0.1400008
Grove tree 033,0.119998,-0.01999998,-0.139998
BroadleafTree_05_Green,0.1202152,-0.02000046,-0.1402152
Grove tree 022,0.1199951,-0.01999998,-0.1399951
Grove tree 049,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.12147,-0.01999998,-0.14147
Grove tree 187,0.1199999,-0.01999998,-0.1399999
Grove tree 013,0.1200018,-0.0199995,-0.1400018
Grove tree 139,0.1199999,-0.02000141,-0.1399999
Grove tree 141,0.1199999,-0.02000046,-0.1399999
Grove tree 013,0.1199999,-0.01999998,-0.1399999
Grove tree 068,0.1199999,-0.0199995,-0.1399999
Grove tree 062,0.1199999,-0.01999998,-0.1399999
Grove tree 056,0.1199999,-0.01999998,-0.1399999
Grove tree 005,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1212144,-0.01999998,-0.1412144
Grove tree 125,0.1199999,-0.0199995,-0.1399999
Grove tree 006,0.1199999,-0.0199995,-0.1399999
Lakeside willow 0,0.1483607,-0.01999998,-0.1683607
BroadleafTree_02_Green,0.1204224,-0.01999998,-0.1404224
Grove tree 234,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.121109,-0.0199995,-0.141109
Grove tree 021,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1208811,-0.02000046,-0.1408811
BroadleafTree_05_Green,0.1209192,-0.02000046,-0.1409192
Grove tree 210,0.1200008,-0.01999998,-0.1400008
Grove tree 123,0.1199999,-0.01999998,-0.1399999
Grove tree 100,0.1199999,-0.01999998,-0.1399999
Grove tree 031,0.1199999,-0.01999998,-0.1399999
Grove tree 028,0.1199999,-0.01999998,-0.1399999
Grove tree 081,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1212611,-0.01999998,-0.1412611
Grove tree 227,0.1199999,-0.01999998,-0.1399999
Grove tree 203,0.1200027,-0.01999998,-0.1400027
Lakeside willow 1,0.1493158,-0.01999998,-0.1693158
Grove tree 022,0.1199999,-0.0199995,-0.1399999
Grove tree 083,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1201744,-0.02000046,-0.1401744
Grove tree 238,0.1199999,-0.01999998,-0.1399999
Grove tree 032,0.119998,-0.01999998,-0.139998
Grove tree 161,0.1200008,-0.01999998,-0.1400008
Grove tree 204,0.1199999,-0.0199995,-0.1399999
BroadleafTree_02_Green,0.1211791,-0.01999998,-0.1411791
Grove tree 164,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1215577,-0.01999998,-0.1415577
Grove tree 016,0.1199999,-0.01999998,-0.1399999
Grove tree 084,0.119998,-0.01999998,-0.139998
Grove tree 020,0.1199999,-0.01999998,-0.1399999
