"id","x","y","z"
"-966294","225.79417419433594","0","-50.05202865600586"
"-966318","225.29417419433594","0","-50.92702865600586"
"-966330","225.70582580566406","0","-52.32297134399414"
"-966342","224.79417419433594","0","-51.80202865600586"
"-966354","225.20582580566406","0","-53.19797134399414"
"-966366","224.29417419433594","0","-52.67702865600586"
"-966378","224.70582580566406","0","-54.07297134399414"
"-966390","223.79417419433594","0","-53.55202865600586"
"-966402","224.20582580566406","0","-54.94797134399414"
"-966414","223.29417419433594","0","-54.42702865600586"
"-966426","223.70582580566406","0","-55.82297134399414"
"-966438","222.79417419433594","0","-55.30202865600586"
"-966450","223.38604736328125","0","-56.65149688720703"
"-966462","222.36395263671875","0","-56.41100311279297"
"-966474","223.13604736328125","0","-57.71399688720703"
"-966486","222.11395263671875","0","-57.47350311279297"
"-966498","222.88604736328125","0","-58.77649688720703"
"-966510","221.86395263671875","0","-58.53600311279297"
"-966522","222.63604736328125","0","-59.83899688720703"
"-966534","221.61395263671875","0","-59.59850311279297"
"-966546","222.38604736328125","0","-60.90149688720703"
"-966558","221.36395263671875","0","-60.66100311279297"
"-966570","222.13604736328125","0","-61.96399688720703"
"-966582","221.11395263671875","0","-61.72350311279297"
"-966594","221.88604736328125","0","-63.02649688720703"
"-966606","220.86395263671875","0","-62.78600311279297"
"-966618","221.63604736328125","0","-64.08899688720703"
"-966630","220.61395263671875","0","-63.84850311279297"
"-966642","221.38604736328125","0","-65.15149688720703"
"-966654","220.36395263671875","0","-64.91100311279297"
"-966666","221.13604736328125","0","-66.21399688720703"
"-966678","220.11395263671875","0","-65.97350311279297"
"-966690","220.88604736328125","0","-67.27649688720703"
"-966702","219.86395263671875","0","-67.03600311279297"
"-966714","220.63604736328125","0","-68.33899688720703"
"-966726","219.61395263671875","0","-68.09850311279297"
"-966738","220.38604736328125","0","-69.40149688720703"
"-966750","219.36395263671875","0","-69.16100311279297"
"-966762","220.13604736328125","0","-70.46399688720703"
"-966774","219.11395263671875","0","-70.22350311279297"
"-966786","219.88604736328125","0","-71.52649688720703"
"-966798","218.86395263671875","0","-71.28600311279297"
"-966810","219.63604736328125","0","-72.58899688720703"
"-966822","218.61395263671875","0","-72.34850311279297"
"-966834","219.3115692138672","0","-73.67941284179688"
"-966846","218.3247833251953","0","-73.32058715820312"
"-966858","218.94793701171875","0","-74.67941284179688"
"-966870","217.96115112304688","0","-74.32058715820312"
"-966882","218.5843048095703","0","-75.67941284179688"
"-966894","217.59751892089844","0","-75.32058715820312"
"-966906","218.22067260742188","0","-76.67941284179688"
"-966918","217.23388671875","0","-76.32058715820312"
"-966930","217.85702514648438","0","-77.67941284179688"
"-966942","216.8702392578125","0","-77.32058715820312"
"-966954","217.49339294433594","0","-78.67941284179688"
"-966966","216.50660705566406","0","-78.32058715820312"
"-966978","217.1297607421875","0","-79.67941284179688"
"-966990","216.14297485351562","0","-79.32058715820312"
"-967002","216.76611328125","0","-80.67941284179688"
"-967014","215.77932739257812","0","-80.32058715820312"
"-967026","216.40248107910156","0","-81.67941284179688"
"-967038","215.4156951904297","0","-81.32058715820312"
"-967050","216.03884887695312","0","-82.67941284179688"
"-967062","215.05206298828125","0","-82.32058715820312"
"-967074","215.6752166748047","0","-83.67941284179688"
"-967086","214.6884307861328","0","-83.32058715820312"
"-967098","215.3040771484375","0","-84.68434143066406"
"-967110","214.3209228515625","0","-84.31565856933594"
"-967122","214.9290771484375","0","-85.68434143066406"
"-967134","213.9459228515625","0","-85.31565856933594"
"-967146","214.5540771484375","0","-86.68434143066406"
"-967158","213.5709228515625","0","-86.31565856933594"
"-967170","214.1790771484375","0","-87.68434143066406"
"-967182","213.1959228515625","0","-87.31565856933594"
"-967194","213.8040771484375","0","-88.68434143066406"
"-967206","212.8209228515625","0","-88.31565856933594"
"-967218","213.4290771484375","0","-89.68434143066406"
"-967230","212.4459228515625","0","-89.31565856933594"
"-967242","213.0540771484375","0","-90.68434143066406"
"-967254","212.0709228515625","0","-90.31565856933594"
"-967266","212.6790771484375","0","-91.68434143066406"
"-967278","211.6959228515625","0","-91.31565856933594"
"-967290","212.09857177734375","0","-92.74357604980469"
"-967302","211.25857543945312","0","-92.11357116699219"
"-967314","211.45571899414062","0","-93.60071563720703"
"-967326","210.61572265625","0","-92.97071075439453"
"-967338","210.81285095214844","0","-94.4578628540039"
"-967350","209.9728546142578","0","-93.8278579711914"
"-967362","210.1699981689453","0","-95.31500244140625"
"-967374","209.3300018310547","0","-94.68499755859375"
"-967386","209.5271453857422","0","-96.1721420288086"
"-967398","208.68714904785156","0","-95.5421371459961"
"-967410","208.88427734375","0","-97.02928924560547"
"-967422","208.04428100585938","0","-96.39928436279297"
"-967434","208.24142456054688","0","-97.88642883300781"
"-967446","207.40142822265625","0","-97.25642395019531"
"-967458","207.59857177734375","0","-98.74357604980469"
"-967470","206.75857543945312","0","-98.11357116699219"
"-967482","206.95571899414062","0","-99.60071563720703"
"-967494","206.11572265625","0","-98.97071075439453"
"-967506","206.31285095214844","0","-100.4578628540039"
"-967518","205.4728546142578","0","-99.8278579711914"
"-967530","205.6699981689453","0","-101.31500244140625"
"-967542","204.8300018310547","0","-100.68499755859375"
"-967554","205.0271453857422","0","-102.1721420288086"
"-967566","204.18714904785156","0","-101.5421371459961"
"-967578","204.38427734375","0","-103.02928924560547"
"-967590","203.54428100585938","0","-102.39928436279297"
"-967602","203.74142456054688","0","-103.88642883300781"
"-967614","202.90142822265625","0","-103.25642395019531"
"-967626","202.7347869873047","0","-104.71957397460938"
"-967638","202.2652130126953","0","-103.78042602539062"
"-967650","201.7347869873047","0","-105.21957397460938"
"-967662","201.2652130126953","0","-104.28042602539062"
"-967674","200.7347869873047","0","-105.71957397460938"
"-967686","200.2652130126953","0","-104.78042602539062"
"-967698","199.7347869873047","0","-106.21957397460938"
"-967710","199.2652130126953","0","-105.28042602539062"
"-967722","198.7347869873047","0","-106.71957397460938"
"-967734","198.2652130126953","0","-105.78042602539062"
"-967746","197.7347869873047","0","-107.21957397460938"
"-967758","197.2652130126953","0","-106.28042602539062"
"-967770","196.7347869873047","0","-107.71957397460938"
"-967782","196.2652130126953","0","-106.78042602539062"
"-967794","195.7347869873047","0","-108.21957397460938"
"-967806","195.2652130126953","0","-107.28042602539062"
"-967818","194.7347869873047","0","-108.71957397460938"
"-967830","194.2652130126953","0","-107.78042602539062"
"-969150","195.49546813964844","0","-150.81349182128906"
"-969162","196.98452758789062","0","-150.4665069580078"
"-969174","196.45547485351562","0","-151.3734893798828"
"-969186","197.94451904296875","0","-151.02650451660156"
"-969198","197.41546630859375","0","-151.93348693847656"
"-969210","198.90452575683594","0","-151.5865020751953"
"-969222","198.37547302246094","0","-152.4934844970703"
"-969234","199.86453247070312","0","-152.14651489257812"
"-969246","199.33547973632812","0","-153.05349731445312"
"-969258","200.82452392578125","0","-152.70651245117188"
"-969270","200.29547119140625","0","-153.61349487304688"
"-969282","201.78453063964844","0","-153.26651000976562"
"-969294","201.25547790527344","0","-154.17349243164062"
